time,.data
2025/09/16/13:27:14.900459,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.000359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.100553,"(-0.0, -0.0, 4.279890179634094, 2.0031901597976685)"
2025/09/16/13:27:15.200391,"(-0.0, -0.0, 4.279890179634094, 2.0031901597976685)"
2025/09/16/13:27:15.300353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.400259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.500290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.600284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.700374,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.800299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:15.900320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.000323,"(1.6249950528144836, 1.6249950528144836, 0.9562027454376221, -0.9562027454376221)"
2025/09/16/13:27:16.100566,"(1.6249950528144836, 1.6249950528144836, 0.9435455799102783, -0.9435455799102783)"
2025/09/16/13:27:16.200284,"(1.6249950528144836, 1.6249950528144836, 0.9435455799102783, -0.9435455799102783)"
2025/09/16/13:27:16.302670,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.400357,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.500525,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.600441,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.700299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.800352,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:16.900360,"(3.5310845375061035, 3.5310845375061035, -4.658663392066956, -4.658663392066956)"
2025/09/16/13:27:17.000420,"(3.6438424587249756, 3.6438424587249756, -4.720728278160095, -4.720728278160095)"
2025/09/16/13:27:17.100294,"(3.6438424587249756, 3.6438424587249756, -4.720728278160095, -4.720728278160095)"
2025/09/16/13:27:17.200289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.300314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.400307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.500540,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.600258,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.700262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.800271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:17.900337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.000292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.100268,"(-0.0, -0.0, 0.16657644510269165, -0.16657644510269165)"
2025/09/16/13:27:18.200628,"(-0.0, -0.0, 0.16657644510269165, -0.16657644510269165)"
2025/09/16/13:27:18.300260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.400337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.500360,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.600277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.700365,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.800869,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:18.900445,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.000313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.100326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.200450,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.300364,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.400290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.500362,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.600307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.700485,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:19.800272,"(-6.0, -6.0, -1.5552200675010681, -1.5552200675010681)"
2025/09/16/13:27:19.900489,"(-6.0, -6.0, -1.5552200675010681, -1.5552200675010681)"
2025/09/16/13:27:20.000313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:20.100359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:20.200318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:20.300340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:20.400319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:20.500292,"(6.0, 6.0, 0.10112549364566803, 0.10112549364566803)"
2025/09/16/13:27:20.600302,"(6.0, 6.0, 0.10112549364566803, 0.10112549364566803)"
2025/09/16/13:27:20.700282,"(6.0, 6.0, 0.10112549364566803, 0.10112549364566803)"
2025/09/16/13:27:20.800293,"(6.0, 6.0, 0.10112549364566803, 0.10112549364566803)"
2025/09/16/13:27:20.900284,"(6.0, 6.0, 0.10112549364566803, 0.10112549364566803)"
2025/09/16/13:27:21.000299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.100326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.200297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.303482,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.400403,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.500347,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.600330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.700329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.800344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:21.900289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.000323,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.100314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.200329,"(1.3994792997837067, 1.3994792997837067, -4.072537660598755, -7.927462339401245)"
2025/09/16/13:27:22.300364,"(1.3994792997837067, 1.3994792997837067, -4.29194974899292, -7.70805025100708)"
2025/09/16/13:27:22.400336,"(1.3994792997837067, 1.3994792997837067, -4.29194974899292, -7.70805025100708)"
2025/09/16/13:27:22.500416,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.600314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.700343,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.800399,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:22.900291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.000270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.100258,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.202443,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.300325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.400289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.500249,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.600278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.700336,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.800295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:23.900334,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.000340,"(6.0, 6.0, 4.91987943649292, 2.8431236743927)"
2025/09/16/13:27:24.100303,"(6.0, 6.0, 5.190048456192017, 2.5729546546936035)"
2025/09/16/13:27:24.200374,"(6.0, 6.0, 5.190048456192017, 2.5729546546936035)"
2025/09/16/13:27:24.300327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.400330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.500362,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.600330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.700583,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.800284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:24.900501,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.002108,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.100479,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.200369,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.300295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.400306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.500430,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.600324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.700276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.800326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:25.900304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.000397,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.100441,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.200301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.300383,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.400365,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.500334,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.600332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.700270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.800414,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:26.900307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.000314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.100253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.200297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.300441,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.400276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.500324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.600332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.703552,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.800333,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:27.900327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.000574,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.100309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.200295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.300303,"(6.0, 6.0, 4.767608046531677, 0.7676080465316772)"
2025/09/16/13:27:28.400256,"(6.0, 6.0, 4.767608046531677, 0.7676080465316772)"
2025/09/16/13:27:28.500402,"(6.0, 6.0, 4.767608046531677, 0.7676080465316772)"
2025/09/16/13:27:28.600285,"(6.0, 6.0, 4.767608046531677, 0.7676080465316772)"
2025/09/16/13:27:28.700395,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.800288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:28.900378,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:29.000295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:29.100350,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:29.200353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:27:29.300421,"(0.0, 0.0, 0.0, 0.0)"
