time,.data
2025/09/16/13:49:31.700829,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:31.800281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:31.900359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:32.000290,"(-3.867623448371887, -3.867623448371887, 0.0, 0.0)"
2025/09/16/13:49:32.100451,"(-3.853360176086426, -3.853360176086426, 0.0, 0.0)"
2025/09/16/13:49:32.200285,"(-3.853360176086426, -3.853360176086426, 0.0, 0.0)"
2025/09/16/13:49:32.300283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:32.400258,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:32.500358,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:32.600283,"(-3.745035409927368, -3.745035409927368, 0.0, 0.0)"
2025/09/16/13:49:32.700307,"(-3.731543183326721, -3.731543183326721, 0.0, 0.0)"
2025/09/16/13:49:32.800297,"(-3.731543183326721, -3.731543183326721, 0.0, 0.0)"
2025/09/16/13:49:32.900332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.000275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.100263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.200294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.300290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.400296,"(-3.7180505990982056, -3.7180505990982056, 0.0, 0.0)"
2025/09/16/13:49:33.500457,"(-3.7180505990982056, -3.7180505990982056, 0.0, 0.0)"
2025/09/16/13:49:33.600381,"(-3.704365611076355, -3.704365611076355, 0.0, 0.0)"
2025/09/16/13:49:33.700280,"(-3.704365611076355, -3.704365611076355, 0.0, 0.0)"
2025/09/16/13:49:33.800324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:33.900355,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.000251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.100353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.200288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.300330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.404091,"(-0.4380498379468918, -0.4380498379468918, 0.10729344561696053, 0.10729344561696053)"
2025/09/16/13:49:34.501249,"(-0.17494815587997437, -0.17494815587997437, 1.0378831028938293, 1.0378831028938293)"
2025/09/16/13:49:34.600285,"(-0.17494815587997437, -0.17494815587997437, 1.0378831028938293, 1.0378831028938293)"
2025/09/16/13:49:34.700279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.800486,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:34.900446,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.000380,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.100313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.200278,"(-0.0, -0.0, -6.0, -6.0)"
2025/09/16/13:49:35.300289,"(-0.0, -0.0, -6.0, -6.0)"
2025/09/16/13:49:35.400311,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.500462,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.600282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.700256,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.800326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:35.900324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.000267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.100277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.200250,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.300297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.400296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.500309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:36.601181,"(0.0, 0.0, 0.0, 0.0)"
