time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2025/09/16/13:50:20.973408,201186,1758048620,971493959,odom,base_link,-0.1214233037624433,0.6381952755183068,0.005820812261650196,-0.011798380511054977,0.00794624283184766,-0.8198290699556959,0.5724316129440724,"(9.999992655262023e-10, 2.363382300658131e-21, -3.186496622052181e-19, 4.21476121227964e-25, 2.023109377728572e-24, 1.9856367426190076e-23, 2.363382300657633e-21, 9.999992655373e-10, -3.1429985692910515e-20, 1.987116328204338e-24, -5.302424632070513e-24, -7.920169897240654e-23, -3.1864966220521816e-19, -3.142998569291043e-20, 9.9999876808505e-10, -2.089129461763015e-23, -1.377135863745368e-23, -1.5978537763417055e-24, 4.214761212279785e-25, 1.9871163282043552e-24, -2.0891294617630198e-23, 9.99997512662432e-10, -5.210440290183932e-20, -6.710359531469727e-19, 2.0231093777285755e-24, -5.3024246320705345e-24, -1.3771358637453794e-23, -5.210440290183931e-20, 9.999975127882126e-10, 1.669150572650297e-18, 1.9856367426189918e-23, -7.920169897240658e-23, -1.5978537763417163e-24, -6.710359531469729e-19, 1.669150572650297e-18, 9.99999270023116e-10)",0.05487218119710511,-0.11329919517433329,-0.032019028450172515,-0.005915280520618977,-0.0016742868400347018,-0.026078856205446806,"(0.17875224316187008, 5.060778344273613e-06, -0.0001507940687753485, 2.856246653979671e-10, -5.3157623686318725e-09, 6.677089795362813e-07, 5.060778344274525e-06, 0.17864405297123312, 0.0012711694338886897, 2.1281135773324242e-09, -2.1124487318585748e-09, 4.5577806299489396e-07, -0.00015079406877534837, 0.0012711694338886901, 0.07778654661149989, -2.9358788570600843e-08, -2.036437198427854e-08, -3.0050120799050234e-09, 2.856246653979111e-10, 2.128113577332434e-09, -2.9358788570600926e-08, 0.017391261514044857, -2.561102406540438e-06, 0.00019479273448265287, -5.315762368631834e-09, -2.112448731858488e-09, -2.036437198427876e-08, -2.561102406540438e-06, 0.01740589140244404, -0.0011857259434456288, 6.677089795362822e-07, 4.5577806299489253e-07, -3.005012079905145e-09, 0.0001947927344826529, -0.0011857259434456286, 0.22660266913426336)"
2025/09/16/13:50:20.983427,201187,1758048620,981496572,odom,base_link,-0.12302620675527316,0.6388441912675226,0.008568505424992396,-0.010984656072285152,0.006585229663864179,-0.8198771265177563,0.5723962521664818,"(9.999990178444968e-10, 2.108913512344038e-21, -2.6212336462062647e-19, 5.7629188539844265e-25, 1.7628947527263984e-24, 1.9123590092144264e-23, 2.108913512344738e-21, 9.99999017854142e-10, -5.596589030491737e-20, 1.868582347903073e-24, -3.934349446100925e-24, -7.6588158978448e-23, -2.6212336462062637e-19, -5.59658903049174e-20, 9.999983551893911e-10, -2.225902905138196e-23, -1.4252849918580924e-23, -1.2404269917858231e-24, 5.762918853984567e-25, 1.868582347903089e-24, -2.2259029051381995e-23, 9.99996686793022e-10, -4.5275816961357794e-20, -6.891978625566491e-19, 1.7628947527264057e-24, -3.934349446100949e-24, -1.4252849918581045e-23, -4.5275816961357776e-20, 9.999966868784997e-10, 1.414786314859978e-18, 1.9123590092144097e-23, -7.658815897844805e-23, -1.2404269917858345e-24, -6.891978625566492e-19, 1.414786314859978e-18, 9.999990224146763e-10)",0.05395256910591916,-0.11453277026995758,-0.02824570488451295,-0.00405880695850245,-0.0017911234558188958,-0.026036250972749704,"(0.17873435340385715, 5.2971690368258755e-06, -0.0001561876563164047, 3.074966179812607e-10, -5.191399957271993e-09, 6.424341170405845e-07, 5.297169036826237e-06, 0.17862882168599736, 0.001263211205658179, 2.096747268648878e-09, -2.063562918913258e-09, 4.385201712316352e-07, -0.00015618765631640459, 0.0012632112056581795, 0.07778414426697854, -2.886905463000936e-08, -2.0033238717919782e-08, -2.931585101084348e-09, 3.07496617981206e-10, 2.0967472686488884e-09, -2.8869054630009444e-08, 0.01739104351377279, -2.626202214365007e-06, 0.00020246115113015545, -5.191399957271954e-09, -2.0635629189131732e-09, -2.0033238717919998e-08, -2.626202214365007e-06, 0.01740564820284419, -0.0011764533688777006, 6.424341170405853e-07, 4.3852017123163384e-07, -2.9315851010844655e-09, 0.00020246115113015548, -0.0011764533688777004, 0.22657432588841797)"
2025/09/16/13:50:20.993347,201188,1758048620,993215561,odom,base_link,-0.12451243575402542,0.638712278584329,0.008274931124674324,-0.011007876749984285,0.006597048894391895,-0.8199641692941085,0.5722709731142799,"(0.0011964838787704914, 2.7986320153688227e-09, -1.8331521726892644e-07, 1.5960778266683376e-13, 6.221933149274047e-13, 2.6269034141674485e-11, 2.798632015363501e-09, 0.0011964960309125406, -6.451157831371213e-08, 8.225314232548612e-13, -1.3840306641929765e-12, -1.0519605524409708e-10, -1.8331521726892665e-07, -6.451157831371226e-08, 0.0007138717924846656, -5.32410811081337e-12, -3.415479357367204e-12, -8.227471153423572e-13, 1.5960778266683977e-13, 8.225314232548684e-13, -5.324108110813382e-12, 0.00035396188989298316, -5.051216439897192e-09, -2.9804040422030874e-07, 6.22193314927408e-13, -1.3840306641929864e-12, -3.4154793573672336e-12, -5.051216439897191e-09, 0.0003539692094506325, 5.099165374979367e-07, 2.626903414167427e-11, -1.0519605524409715e-10, -8.22747115342367e-13, -2.980404042203087e-07, 5.099165374979368e-07, 0.0012030116771816137)",0.05403250127970641,-0.1145688271116815,-0.028361028377469524,-0.00405880695850245,-0.0017911234558188958,-0.026036250972749704,"(0.18241297778243076, 5.319647010362718e-06, -0.00015702877109254783, 3.0785621044386825e-10, -5.201038893661118e-09, 6.436417640685048e-07, 5.319647010363092e-06, 0.18230701583692757, 0.001270891623429522, 2.101078781055693e-09, -2.067064430765164e-09, 4.3933557366505776e-07, -0.00015702877109254773, 0.0012708916234295225, 0.07896172317808041, -2.8932300189240422e-08, -2.0087482208213518e-08, -2.9446656831329e-09, 3.0785621044381355e-10, 2.101078781055703e-09, -2.8932300189240505e-08, 0.01750823339795858, -2.626202214365007e-06, 0.00020246115113015545, -5.201038893661078e-09, -2.067064430765079e-09, -2.0087482208213733e-08, -2.626202214365007e-06, 0.01752283808702998, -0.0011764533688777006, 6.436417640685056e-07, 4.393355736650564e-07, -2.944665683133018e-09, 0.00020246115113015548, -0.0011764533688777004, 0.23243382009770752)"
2025/09/16/13:50:21.003390,201189,1758048621,3290415,odom,base_link,-0.12579080211521834,0.6385986714772359,0.008021546934856166,-0.01102783962190261,0.006607209355799086,-0.8200389845466515,0.5721632593600352,"(0.00226485976175892, 9.506672620985081e-09, -6.403538431570171e-07, 8.502562409703164e-08, 3.123396863410935e-08, 1.3974825231479223e-07, 9.506672620982465e-09, 0.002264903925085955, -2.2411448755050615e-07, -3.519232749937195e-08, 8.345333484703122e-08, -1.5721599534681725e-06, -6.40353843157017e-07, -2.2411448755050636e-07, 0.0013449397787787792, -4.132043010311316e-07, -1.9500085428302586e-07, 1.3086314594318636e-10, 8.502562409703167e-08, -3.519232749937194e-08, -4.1320430103113164e-07, 0.0006620985316463828, -1.766901648910342e-08, -1.047270073390596e-06, 3.123396863410934e-08, 8.34533348470312e-08, -1.9500085428302588e-07, -1.7669016489103422e-08, 0.0006621239552234871, 1.7800573450158364e-06, 1.3974825231479225e-07, -1.5721599534681727e-06, 1.308631459431861e-10, -1.0472700733905958e-06, 1.7800573450158368e-06, 0.0022875798159870844)",0.054101219239296415,-0.11459982530020972,-0.028460172373601315,-0.00405880695850245,-0.0017911234558188958,-0.026036250972749704,"(0.1855878190260448, 5.339009042994045e-06, -0.00015775403760741495, 3.0816535329765963e-10, -5.20932551980795e-09, 6.446799822944285e-07, 5.339009042994428e-06, 0.18548148650539317, 0.0012775113343903508, 2.1048025968914458e-09, -2.0700746923224647e-09, 4.4003657788919744e-07, -0.00015775403760741484, 0.001277511334390351, 0.07998263723779124, -2.8986672609976223e-08, -2.013411551990034e-08, -2.9559111036693e-09, 3.081653532976049e-10, 2.1048025968914565e-09, -2.898667260997631e-08, 0.01760898193692953, -2.626202214365007e-06, 0.00020246115113015545, -5.209325519807909e-09, -2.0700746923223795e-09, -2.0134115519900555e-08, -2.626202214365007e-06, 0.01762358662600093, -0.0011764533688777006, 6.446799822944294e-07, 4.4003657788919606e-07, -2.9559111036694178e-09, 0.00020246115113015548, -0.0011764533688777004, 0.23747124704625489)"
2025/09/16/13:50:21.023441,201190,1758048621,23222446,odom,base_link,-0.12832163808259983,0.638372968265213,0.007517468087115607,-0.011067331262171173,0.0066273156879391865,-0.8201869560388039,0.5719501289529594,"(0.004489578001941504, 3.330375129023664e-08, -2.3998955569169103e-06, 4.0382075614963754e-07, 1.4913947062746997e-07, 6.843701622659096e-07, 3.3303751290236946e-08, 0.0044897586307033575, -8.290821227361417e-07, -1.6438990309125104e-07, 3.9140792408126256e-07, -7.679996908658377e-06, -2.399895556916912e-06, -8.29082122736142e-07, 0.0026417867736528793, -1.9559953407959167e-06, -9.248790467334359e-07, 1.2160909651613328e-09, 4.0382075614963765e-07, -1.6438990309125102e-07, -1.9559953407959167e-06, 0.0012822394920557615, -6.625522060228672e-08, -3.91043623183042e-06, 1.4913947062746992e-07, 3.914079240812625e-07, -9.248790467334359e-07, -6.625522060228668e-08, 0.0012823348620599497, 6.6531491403748416e-06, 6.843701622659095e-07, -7.679996908658377e-06, 1.2160909651613324e-09, -3.91043623183042e-06, 6.653149140374842e-06, 0.004574279556091263)",0.05423717044595293,-0.11466115193388338,-0.028656318271810224,-0.00405880695850245,-0.0017911234558188958,-0.026036250972749704,"(0.19190253069477325, 5.377417311957715e-06, -0.00015919477700624792, 3.087769596994348e-10, -5.2257197321869955e-09, 6.467339871197936e-07, 5.377417311958118e-06, 0.1917954631046174, 0.0012906535754156749, 2.112169772215884e-09, -2.0760301760636645e-09, 4.4142344051887537e-07, -0.00015919477700624782, 0.001290653575415675, 0.08202580172024279, -2.909424268702698e-08, -2.022637458917478e-08, -2.97815897744793e-09, 3.0877695969937997e-10, 2.112169772215895e-09, -2.909424268702707e-08, 0.017808302253244226, -2.626202214365007e-06, 0.00020246115113015545, -5.225719732186953e-09, -2.0760301760635793e-09, -2.0226374589174997e-08, -2.626202214365007e-06, 0.017822906942315624, -0.0011764533688777006, 6.467339871197944e-07, 4.41423440518874e-07, -2.978158977448048e-09, 0.00020246115113015548, -0.0011764533688777004, 0.24743726286198975)"
2025/09/16/13:50:21.033350,201191,1758048621,31491995,odom,base_link,-0.13120804376512735,0.6422265747759963,0.02248006056639126,-0.006286092975681827,-0.0011206539674507255,-0.8200394040556377,0.5722714434303542,"(9.999988083799109e-10, 1.802750386035535e-21, -8.743031253808649e-20, 5.0064945492076775e-25, 1.1699368259807654e-24, 2.0067642356473842e-23, 1.8027503860352776e-21, 9.999988083859547e-10, -1.3258044767565107e-19, 3.352667596235979e-24, -2.853548452212547e-24, -1.116877939309269e-22, -8.743031253808655e-20, -1.3258044767565112e-19, 9.999980060225933e-10, -2.0412098808785178e-23, -1.3181318374730684e-23, 2.382029741996301e-25, 5.0064945492080705e-25, 3.3526675962359925e-24, -2.0412098808785205e-23, 9.999959884238665e-10, -2.2139245354969355e-20, -7.500041168045073e-19, 1.169936825980771e-24, -2.8535484522125343e-24, -1.3181318374730836e-23, -2.2139245354969364e-20, 9.999959884260343e-10, 6.095966273597193e-19, 2.006764235647337e-23, -1.1168779393092674e-22, 2.382029741996382e-25, -7.500041168045075e-19, 6.095966273597192e-19, 9.999988130018134e-10)",0.04948141277720339,-0.12069223283685974,-0.009460938617930563,0.006360356010748805,-0.002368880967665944,-0.025705040920671562,"(0.1787412099179581, 6.002138580042443e-06, -0.00018271414978119244, 5.465619429256545e-10, -6.959548737594775e-09, 9.764423435781994e-07, 6.002138580044152e-06, 0.17864920734177195, 0.0012058642006331144, 4.346190268911806e-09, -1.6372355104568974e-09, 5.724429887405316e-07, -0.0001827141497811923, 0.0012058642006331144, 0.07778272726082203, -3.332801878527095e-08, -2.2234350920113876e-08, -1.6052134946173047e-09, 5.465619429255764e-10, 4.346190268911851e-09, -3.332801878527099e-08, 0.017391170832570222, -2.904256919194714e-06, 0.00023973917038051535, -6.959548737594828e-09, -1.6372355104568238e-09, -2.223435092011414e-08, -2.9042569191947134e-06, 0.01740536206726838, -0.0011139752898087054, 9.764423435781996e-07, 5.724429887405265e-07, -1.6052134946173335e-09, 0.00023973917038051535, -0.0011139752898087052, 0.22667631409536446)"
2025/09/16/13:50:21.043452,201192,1758048621,41494370,odom,base_link,-0.1328529712197362,0.6429115526613499,0.025299324537454346,-0.00525917573615909,-0.0027473816558853514,-0.8200446610955956,0.5722687714467941,"(9.999990178232908e-10, 2.479410059728837e-21, 4.6357225041483294e-20, 6.839253586638944e-25, 6.5967750993157965e-25, 1.932175146356495e-23, 2.4794100597287632e-21, 9.999990178282832e-10, -1.8707441907306062e-19, 3.223881342487695e-24, 5.545391322759311e-25, -1.0838729281283482e-22, 4.635722504148334e-20, -1.8707441907306052e-19, 9.999983551455218e-10, -2.4860490432665953e-23, -1.4878453295690016e-23, 1.063017620212314e-24, 6.839253586639347e-25, 3.2238813424877075e-24, -2.486049043266599e-23, 9.999966867189776e-10, -1.868552057462614e-21, -7.73969383534821e-19, 6.596775099315984e-25, 5.5453913227594e-25, -1.4878453295690157e-23, -1.8685520574626096e-21, 9.999966867013084e-10, 2.321571299985889e-21, 1.932175146356447e-23, -1.0838729281283466e-22, 1.0630176202123143e-24, -7.739693835348217e-19, 2.321571299986018e-21, 9.99999022407744e-10)",0.04862410474770485,-0.12172954978589869,-0.005753788118185523,0.00853751589517153,-0.002458179745488517,-0.025500329630793322,"(0.17872364528348597, 5.805654990976384e-06, -0.00018854521335256942, 5.783958420895977e-10, -6.7225853923840706e-09, 9.395457498714981e-07, 5.805654990976915e-06, 0.178634634802052, 0.0011802748589658497, 4.280732353575933e-09, -1.549252595204069e-09, 5.508039757777591e-07, -0.00018854521335256929, 0.0011802748589658499, 0.07777988793271155, -3.27806368899754e-08, -2.187518817665317e-08, -1.6722653121372304e-09, 5.783958420895214e-10, 4.2807323535759765e-09, -3.278063688997544e-08, 0.01739096097043099, -2.9289613080272407e-06, 0.00024788342947758556, -6.722585392384122e-09, -1.5492525952039975e-09, -2.187518817665343e-08, -2.9289613080272402e-06, 0.017404891333233224, -0.0010877770252685109, 9.395457498714983e-07, 5.508039757777542e-07, -1.6722653121372577e-09, 0.00024788342947758556, -0.0010877770252685106, 0.2266494204223691)"
2025/09/16/13:50:21.053296,201193,1758048621,53212166,odom,base_link,-0.13438912728403504,0.6428679310246936,0.025240709736728283,-0.0052419581316616795,-0.002797430928097876,-0.8201299363355482,0.5721464705662336,"(0.001196361827803245, 4.083434955132766e-09, 8.555378355914068e-08, 2.4401531250445324e-13, 1.6290485801064575e-13, 2.6553101957488382e-11, 4.083434955133922e-09, 0.0011963686360153204, -1.776255565785104e-07, 1.3708685252645566e-12, 7.415111007039256e-13, -1.4890284830382873e-10, 8.555378355914072e-08, -1.7762555657851033e-07, 0.0007137978353710559, -5.956319407841211e-12, -3.5916513883817555e-12, 1.1811874443329035e-12, 2.4401531250446975e-13, 1.3708685252645622e-12, -5.956319407841217e-12, 0.0003539263102223963, 8.955868424297001e-10, -3.323057281802955e-07, 1.629048580106562e-13, 7.415111007039286e-13, -3.5916513883817902e-12, 8.955868424297001e-10, 0.0003539243260647551, -1.0588264572811481e-07, 2.6553101957487746e-11, -1.4890284830382854e-10, 1.1811874443329009e-12, -3.323057281802955e-07, -1.058826457281148e-07, 0.0012029058781479658)",0.04869209808416329,-0.12178024004909836,-0.0057653625427546325,0.00853751589517153,-0.002458179745488517,-0.025500329630793322,"(0.18240188300791987, 5.8300839998271035e-06, -0.00018960367344890612, 5.792912225693937e-10, -6.7353789607551235e-09, 9.413764092145145e-07, 5.830083999827645e-06, 0.18231251445787472, 0.0011873304533653005, 4.289550251902184e-09, -1.55169090422863e-09, 5.518574976598101e-07, -0.00018960367344890598, 0.0011873304533653005, 0.07895731693731833, -3.286218096434997e-08, -2.1937646292000557e-08, -1.6795247928032124e-09, 5.792912225693173e-10, 4.289550251902229e-09, -3.286218096435002e-08, 0.017508138933687824, -2.9289613080272407e-06, 0.00024788342947758556, -6.735378960755174e-09, -1.5516909042285584e-09, -2.193764629200082e-08, -2.9289613080272402e-06, 0.01752206929649006, -0.0010877770252685109, 9.413764092145147e-07, 5.518574976598053e-07, -1.6795247928032397e-09, 0.00024788342947758556, -0.0010877770252685106, 0.2325083185852109)"
2025/09/16/13:50:21.063314,201194,1758048621,63212633,odom,base_link,-0.1357008140812773,0.6428306591315112,0.02519047436500387,-0.005227262838835211,-0.0028401447297064075,-0.820202697686942,0.5720420823752314,"(0.0022567141104201573, 1.4023269721902695e-08, 2.9573369844768014e-07, 1.691404941342182e-08, 6.17149345233387e-09, 4.5882657456379196e-08, 1.4023269721911294e-08, 0.002256739566507752, -6.145901016664037e-07, -1.0873449473289546e-08, 1.7042865358248743e-08, -1.6131757129772976e-06, 2.957336984476803e-07, -6.145901016664034e-07, 0.0013401444335970755, -4.3356726988569167e-07, -1.7378353895437405e-07, 8.60170004813597e-10, 1.6914049413421827e-08, -1.0873449473289546e-08, -4.335672698856917e-07, 0.0006597760767578185, 3.1101153449786354e-09, -1.1587359974537022e-06, 6.171493452333871e-09, 1.704286535824874e-08, -1.73783538954374e-07, 3.110115344978648e-09, 0.0006597689765335837, -3.6671863018542626e-07, 4.588265745637919e-08, -1.6131757129772974e-06, 8.601700048135968e-10, -1.1587359974537022e-06, -3.6671863018542626e-07, 0.002279336324669921)",0.04875012649829508,-0.12182350128231051,-0.005775240650481321,0.00853751589517153,-0.002458179745488517,-0.025500329630793322,"(0.18555323012436772, 5.850972942970532e-06, -0.00019050963251981813, 5.800553784704486e-10, -6.746297537814695e-09, 9.429387719992223e-07, 5.8509729429710825e-06, 0.1854635554076249, 0.0011933671258120401, 4.297075822531602e-09, -1.5537718611757122e-09, 5.527566181803325e-07, -0.000190509632519818, 0.00119336712581204, 0.07997063790797879, -3.293177415633422e-08, -2.1990950712287163e-08, -1.685720343314619e-09, 5.800553784703721e-10, 4.297075822531647e-09, -3.2931774156334265e-08, 0.017608143606691974, -2.9289613080272407e-06, 0.00024788342947758556, -6.746297537814745e-09, -1.5537718611756407e-09, -2.1990950712287428e-08, -2.9289613080272402e-06, 0.01762207396949421, -0.0010877770252685109, 9.429387719992225e-07, 5.527566181803275e-07, -1.6857203433146462e-09, 0.00024788342947758556, -0.0010877770252685106, 0.23750855223541842)"
2025/09/16/13:50:21.073386,201195,1758048621,73268652,odom,base_link,-0.13702040494296694,0.6427931130188339,0.025139771808807734,-0.005212485849549557,-0.0028830957618287112,-0.8202758481395217,0.5719371038052039,"(0.0033602560849535987, 2.995501707244463e-08, 6.360089286791892e-07, 4.879979582387042e-08, 1.7820920387979195e-08, 1.343361771651337e-07, 2.99550170724658e-08, 0.0033603164217659697, -1.3264076098902393e-06, -3.031029397619829e-08, 4.9550801305324114e-08, -4.722653075256327e-06, 6.360089286791895e-07, -1.3264076098902387e-06, 0.001986196334353313, -1.2490383231479007e-06, -5.010445446377015e-07, 3.62595471901369e-09, 4.8799795823870406e-08, -3.031029397619829e-08, -1.249038323147901e-06, 0.0009708717692278664, 6.737524984458845e-09, -2.5086160108043855e-06, 1.7820920387979195e-08, 4.9550801305324094e-08, -5.010445446377014e-07, 6.737524984458892e-09, 0.0009708562068338692, -7.920390811455793e-07, 1.3433617716513373e-07, -4.7226530752563256e-06, 3.625954719013689e-09, -2.5086160108043855e-06, -7.920390811455793e-07, 0.003409153296101657)",0.04880847725407647,-0.12186700282705772,-0.005785173630042563,0.00853751589517153,-0.002458179745488517,-0.025500329630793322,"(0.18873341799485951, 5.872015238136208e-06, -0.0001914230608443666, 5.808237791760081e-10, -6.757276766404959e-09, 9.445098135425148e-07, 5.8720152381367665e-06, 0.18864343487612142, 0.001199451378645186, 4.304643196902984e-09, -1.555864377616624e-09, 5.536607332194215e-07, -0.00019142306084436644, 0.0011994513786451858, 0.08099747148200485, -3.300175393107522e-08, -2.2044551232941554e-08, -1.6919503094481296e-09, 5.808237791759315e-10, 4.304643196903028e-09, -3.300175393107527e-08, 0.01770870379498543, -2.9289613080272407e-06, 0.00024788342947758556, -6.757276766405008e-09, -1.5558643776165524e-09, -2.2044551232941822e-08, -2.9289613080272402e-06, 0.017722634157787666, -0.0010877770252685109, 9.44509813542515e-07, 5.536607332194165e-07, -1.6919503094481569e-09, 0.00024788342947758556, -0.0010877770252685106, 0.24253656165009127)"
