time,.data
2025/09/16/13:40:41.604039,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:41.702885,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:41.800242,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:41.906804,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.000297,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.100298,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.203299,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.300487,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.400253,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.500262,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:42.600279,"(-0.0, -0.0, -1.2138432264328003, 1.2138432264328003)"
2025/09/16/13:40:42.700268,"(-0.0, -0.0, -1.2138432264328003, 1.2138432264328003)"
2025/09/16/13:40:42.800364,"(-0.0, -0.0, -0.7786813974380493, 0.7786813974380493)"
2025/09/16/13:40:42.900472,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.000353,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.100293,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.200294,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.301029,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.400474,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.503276,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.600273,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.700375,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.800293,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:40:43.900290,"(-0.0, -0.0, 0.0, 0.0)"
