time,.data
2025/09/16/14:08:49.000314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.100265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.200249,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.300258,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.400259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.500248,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.600319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.700327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.808516,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:08:49.903339,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.010695,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.100594,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.200272,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.302094,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.407739,"(1.325078308582306, 1.325078308582306, 0.0, 0.0)"
2025/09/16/14:08:50.500315,"(2.238706111907959, 2.238706111907959, 0.0, 0.0)"
2025/09/16/14:08:50.600354,"(3.7247968912124634, 3.7247968912124634, 0.0, 0.0)"
2025/09/16/14:08:50.700523,"(2.3102157711982727, 2.3102157711982727, 0.0, 0.0)"
2025/09/16/14:08:50.800504,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:50.900293,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:51.000293,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:51.100318,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:08:51.200288,"(1.253183126449585, 1.253183126449585, 0.0, 0.0)"
2025/09/16/14:08:51.300269,"(1.253183126449585, 1.253183126449585, 0.0, 0.0)"
2025/09/16/14:08:51.400282,"(1.2637842893600464, 1.2637842893600464, 0.0, 0.0)"
2025/09/16/14:08:51.500422,"(1.2464369237422943, 1.2464369237422943, -0.411302775144577, 0.411302775144577)"
2025/09/16/14:08:51.600328,"(1.2464369237422943, 1.2464369237422943, 0.0, 0.0)"
2025/09/16/14:08:51.700344,"(1.6880237460136414, 1.6880237460136414, 0.0, 0.0)"
2025/09/16/14:08:51.806438,"(1.895806610584259, 1.895806610584259, 0.0, 0.0)"
2025/09/16/14:08:51.900312,"(1.895806610584259, 1.895806610584259, 0.0, 0.0)"
2025/09/16/14:08:52.000411,"(1.8306575417518616, 1.8306575417518616, 0.0, 0.0)"
2025/09/16/14:08:52.100389,"(1.6670141816139221, 1.6670141816139221, 0.0, 0.0)"
2025/09/16/14:08:52.203486,"(1.6670141816139221, 1.6670141816139221, 0.0, 0.0)"
2025/09/16/14:08:52.300337,"(1.8377893567085266, 1.8377893567085266, 0.0, 0.0)"
2025/09/16/14:08:52.400304,"(1.8377893567085266, 1.8377893567085266, 0.0, 0.0)"
2025/09/16/14:08:52.500288,"(1.8377893567085266, 1.8377893567085266, 0.0, 0.0)"
2025/09/16/14:08:52.600297,"(1.8377893567085266, 1.8377893567085266, 0.0, 0.0)"
2025/09/16/14:08:52.700321,"(1.7306211590766907, 1.7306211590766907, 0.0, 0.0)"
2025/09/16/14:08:52.800317,"(1.6762660145759583, 1.6762660145759583, 0.0, 0.0)"
2025/09/16/14:08:52.900367,"(1.6762660145759583, 1.6762660145759583, 0.0, 0.0)"
2025/09/16/14:08:53.002682,"(1.6762660145759583, 1.6762660145759583, 0.0, 0.0)"
2025/09/16/14:08:53.100284,"(1.6762660145759583, 1.6762660145759583, 0.0, 0.0)"
2025/09/16/14:08:53.200271,"(1.6762660145759583, 1.6762660145759583, 0.0, 0.0)"
