time,.data
2025/09/16/14:20:51.300352,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.400264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.500303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.603833,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.700324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.800725,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:51.901415,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.000298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.100339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.200305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.300285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.400305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.500228,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.600344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.700283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.800272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:52.900415,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.000339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.100368,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.200297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.300274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.402280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.500308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.600340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.700421,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.800292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:53.900277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.000262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.100449,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.200320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.300311,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.400322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.500293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.600288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.700262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.800267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:54.900316,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.000290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.100282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.201038,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.300303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.400340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.500277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.600263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:20:55.700344,"(2.1047937892793938, 0.6169999250447755, 4.310465653192121, 1.3348779525856356)"
2025/09/16/14:20:55.800289,"(2.0709379179710306, 0.2487815639753626, 4.420455562356677, 0.7761428554435988)"
2025/09/16/14:20:55.900287,"(2.0828736117916247, 0.24646836270341463, 4.50597517816024, 0.8331646800073778)"
2025/09/16/14:20:56.000354,"(2.016276044085716, 0.41346870401060143, 4.243929184440049, 1.0383145042925572)"
2025/09/16/14:20:56.100305,"(2.27007131738566, 0.8226862692998751, 4.047532705641477, 1.1527626094698822)"
2025/09/16/14:20:56.200320,"(2.278251157024798, 1.019829559979291, 3.8113766377577196, 1.294533443666756)"
2025/09/16/14:20:56.300300,"(2.271334251190025, 1.2845467451370398, 3.5978231203828197, 1.624248108276838)"
2025/09/16/14:20:56.400314,"(1.9648325900675334, 1.4908306797167545, 2.5083551209332415, 1.560351300227669)"
2025/09/16/14:20:56.500283,"(2.4464087512992565, 1.9087714168044743, 2.8659678590603788, 1.7906931900711367)"
2025/09/16/14:20:56.600270,"(2.185293948958592, 2.3571537605292305, 1.491441220427313, 1.8351608435685787)"
2025/09/16/14:20:56.700275,"(2.21037978253042, 2.3338023369010643, 1.460726726538944, 1.7075718352802327)"
2025/09/16/14:20:56.800298,"(1.891291725429308, 2.3442190934080736, 0.9722835777030627, 1.87813831366058)"
2025/09/16/14:20:56.900296,"(1.9033848423455317, 2.512513334936637, 0.22504911386501858, 1.443306099047236)"
2025/09/16/14:20:57.000294,"(1.9178198153480377, 2.5619975697875534, 0.22556436235187302, 1.5139198712309119)"
2025/09/16/14:20:57.100325,"(1.7404084073345991, 2.877054696063026, -0.8490043390621904, 1.4242882383947097)"
2025/09/16/14:20:57.200373,"(1.8691815731721197, 3.0981924955292826, -0.7475177536891017, 1.7105040910251859)"
2025/09/16/14:20:57.300320,"(1.6966472768348457, 3.1386268959913104, -1.4937906997243715, 1.3901685385885507)"
2025/09/16/14:20:57.400334,"(1.3937081238804685, 2.5756982361004557, -1.1758659096154516, 1.1881143148245186)"
2025/09/16/14:20:57.500389,"(1.4607722399255847, 2.8192343006749896, -1.736790773459795, 0.9801333480390162)"
2025/09/16/14:20:57.600276,"(1.1213413326804889, 2.409217687986593, -2.1542625214168147, 0.4214901891955358)"
2025/09/16/14:20:57.700249,"(1.2949184474398079, 2.4164003938862506, -2.1558124750650007, 0.08715141782787628)"
2025/09/16/14:20:57.800253,"(1.1139243940006347, 2.053499124068394, -1.979761077585406, -0.10061161744986169)"
2025/09/16/14:20:57.904309,"(1.1261099906633558, 2.041284320521079, -1.3445820772251555, 0.4857665824901991)"
2025/09/16/14:20:58.000406,"(0.8462903117876426, 1.8577393196083911, -1.7934423236894848, 0.22945569195206533)"
2025/09/16/14:20:58.100331,"(0.7062323447989423, 1.458240387652839, -1.6521129767089067, -0.14809689100117657)"
2025/09/16/14:20:58.200292,"(0.6876236270602001, 1.411837703244426, -1.4286503920734728, 0.01977776029498582)"
2025/09/16/14:20:58.300316,"(0.9284393666494593, 1.4730653949751882, -1.0799855267917806, 0.009266529859682546)"
2025/09/16/14:20:58.400262,"(1.1380914135310554, 1.3973463185153527, -1.0191119217423046, -0.5006021117736963)"
2025/09/16/14:20:58.500296,"(0.8096441887148855, 0.8968696790132471, -0.5362809845004617, -0.36183000390372533)"
2025/09/16/14:20:58.600289,"(1.088202698407613, 1.0337940480012602, -0.1283202724577534, -0.23713757327047544)"
2025/09/16/14:20:58.700275,"(1.101085913415466, 1.0655200967779461, -0.3740848306119162, -0.4452164638869681)"
2025/09/16/14:20:58.808452,"(1.1818087863621032, 1.0434723455626336, -0.6196238705292918, -0.896296752128217)"
2025/09/16/14:20:58.900388,"(1.2367238931970082, 0.7434461733704656, -0.1282221392388505, -1.1147775788919259)"
2025/09/16/14:20:59.001822,"(1.4671155357626402, 0.9623313649392634, 0.10899814502962246, -0.9005701966171427)"
2025/09/16/14:20:59.100293,"(1.019474721888907, 0.6028365060684706, -0.3418628852842465, -1.1751393169250792)"
2025/09/16/14:20:59.200309,"(1.4034525169324903, 0.7642230978903144, -0.050571137961784196, -1.329029976046116)"
2025/09/16/14:20:59.300253,"(1.5158885922483711, 0.9290276612519771, -0.05913713651199382, -1.2328589985047829)"
2025/09/16/14:20:59.400274,"(1.4725194976378018, 0.7691800131658444, 0.16670818760252762, -1.2399707813413958)"
2025/09/16/14:20:59.500303,"(1.8814242049889582, 1.2481121902799381, -0.677788691549163, -1.9444127209672692)"
2025/09/16/14:20:59.602670,"(1.5419626206360373, 1.0641205490963044, -0.6886715540847917, -1.6443556971642728)"
2025/09/16/14:20:59.700289,"(2.1190207101477756, 1.6588380002589258, -0.5513072147882793, -1.4716726345659858)"
2025/09/16/14:20:59.800303,"(1.942762971956217, 1.8031827831997047, -1.0963099798342528, -1.3754703573472848)"
2025/09/16/14:20:59.900283,"(1.697295746211603, 1.3060575249886175, -0.37743690526110296, -1.1599133477071735)"
2025/09/16/14:21:00.000301,"(1.9191849933110623, 1.8141049924586419, -1.166546952098268, -1.376706953803092)"
2025/09/16/14:21:00.100284,"(1.6232230554517186, 1.6136598082384568, -0.7333094512556055, -0.7524359456819267)"
2025/09/16/14:21:00.203229,"(1.347835818938651, 1.5343808956016882, -1.308225114172806, -0.9351349608467394)"
2025/09/16/14:21:00.300302,"(1.5204508236136483, 1.6480250324818266, -1.135876535391314, -0.8807281176549394)"
2025/09/16/14:21:00.400266,"(1.7881428893834634, 2.299696672308944, -2.1288722918563536, -1.1057647260045906)"
2025/09/16/14:21:00.500229,"(1.7113793251959062, 1.8792329434546253, -1.509767068842605, -1.1740598323251488)"
2025/09/16/14:21:00.600245,"(1.8559458380661706, 2.0697027959266223, -1.1844083958512721, -0.7568944801303898)"
2025/09/16/14:21:00.700285,"(1.8902237959043318, 2.072893976832712, -1.316948299731495, -0.9516079378746326)"
2025/09/16/14:21:00.800308,"(2.1033698840433868, 2.309291044769288, -1.7102219624506296, -1.2983796409988626)"
2025/09/16/14:21:00.900278,"(2.0426401236762426, 2.1327967366945333, -0.9774348308910183, -0.7971216048546828)"
2025/09/16/14:21:01.000304,"(2.3482287159089887, 2.102689282743115, -0.6603641592268856, -1.1514430255584847)"
2025/09/16/14:21:01.100255,"(2.0557429484416603, 1.7755415745923733, -0.36667328277781897, -0.9270760304764646)"
2025/09/16/14:21:01.200299,"(2.161853731409316, 2.011248303410861, -0.7884835959987175, -1.0896944519956144)"
2025/09/16/14:21:01.300301,"(2.3885144342471167, 2.130125547544628, -0.3714874860824096, -0.888265259487379)"
2025/09/16/14:21:01.400375,"(2.357087105712954, 2.1808287688651715, -0.5683860430277871, -0.9209027167233576)"
2025/09/16/14:21:01.500318,"(2.410129833822871, 2.0557720306032548, -0.21590644479149879, -0.9246220512307287)"
2025/09/16/14:21:01.604489,"(1.9736712860991963, 1.6337501184393817, -0.3556972313421619, -1.0355395666618292)"
2025/09/16/14:21:01.700361,"(2.547398416840303, 2.115121754936941, -0.01985776898753272, -0.8844110927943938)"
2025/09/16/14:21:01.800302,"(2.209957988810401, 1.5487859676372846, 0.6374762540334191, -0.6848677883128227)"
2025/09/16/14:21:01.900923,"(2.350270728910899, 1.911205613780199, 0.5090690506845266, -0.369061179576865)"
2025/09/16/14:21:02.000377,"(2.005276323948837, 1.7654706274803993, 0.19086307218136306, -0.2887483207554967)"
2025/09/16/14:21:02.100788,"(2.279334636588893, 1.9526754087986078, 0.27892581321353327, -0.37439264236703873)"
2025/09/16/14:21:02.200270,"(1.808988119201557, 1.6348022072073964, 0.38156001500226777, 0.03318819101401804)"
2025/09/16/14:21:02.300272,"(2.014939144731576, 1.6863718852299607, 0.5747638518579081, -0.08237066714532734)"
2025/09/16/14:21:02.400303,"(1.6998257583111975, 1.354826109341681, 0.5153942457703435, -0.1746050521686919)"
2025/09/16/14:21:02.500370,"(1.7598222444399483, 1.5350802844018379, 0.39557183339765256, -0.05391208667858896)"
2025/09/16/14:21:02.600332,"(1.4235885425836317, 1.289088715172981, 0.37185877051805616, 0.10285911569677225)"
2025/09/16/14:21:02.700270,"(1.3144498052795248, 1.3308279943010073, -0.1385250193784695, -0.1057686413355243)"
2025/09/16/14:21:02.800303,"(1.3585777849200344, 1.3299630413000392, -0.01244569052309702, -0.06967517776308917)"
2025/09/16/14:21:02.900284,"(1.0319249340437013, 0.7483461271929907, 0.3369584392877514, -0.23019917441366294)"
2025/09/16/14:21:03.000317,"(1.2592307406184569, 0.799893782787011, 0.34219161188085545, -0.5764823037820199)"
2025/09/16/14:21:03.100278,"(1.0301399119025618, 0.598607657683591, 0.25268537254984585, -0.6103791358880912)"
2025/09/16/14:21:03.200289,"(0.9682656277434196, 0.8323851919381932, 0.6085463038189727, 0.3367854322084243)"
2025/09/16/14:21:03.300286,"(0.9249179810671917, 0.4897960476736, 0.7315621484638737, -0.1386817183233044)"
2025/09/16/14:21:03.400260,"(1.0232671647185445, 0.3956159983360199, 1.0115876859242783, -0.24371464684076366)"
2025/09/16/14:21:03.500258,"(0.700974675289735, 0.028221113358016026, 1.2127819973187857, -0.13272512654466825)"
2025/09/16/14:21:03.600245,"(0.8181702004990542, 0.07262221307640103, 1.2556882703290124, -0.2354077045162925)"
2025/09/16/14:21:03.700268,"(1.038481719254491, 0.07709863438469536, 1.1245372412986654, -0.7982289284409121)"
2025/09/16/14:21:03.800319,"(0.8558161766715261, -0.025301878213600193, 1.433495692091507, -0.3287404176786677)"
2025/09/16/14:21:03.900320,"(0.7717099363653023, -0.1230669285846781, 1.2928942966697927, -0.49665943323016226)"
2025/09/16/14:21:04.000294,"(0.6174243052207566, -0.3875642561060918, 1.2389866356890367, -0.7709904869646622)"
2025/09/16/14:21:04.100286,"(0.4466930499302958, -0.7449198781960792, 1.7443003827174879, -0.6389254735352741)"
2025/09/16/14:21:04.200259,"(0.7345102292129321, -0.1394189102021114, 1.6553072377621723, -0.09255104106799594)"
2025/09/16/14:21:04.300259,"(0.9788972374200129, -0.038160414756655145, 2.107046468494849, 0.07293116414151249)"
2025/09/16/14:21:04.400287,"(0.5569429583908139, -0.387962743680641, 1.9831359919559075, 0.09332458781300743)"
2025/09/16/14:21:04.500281,"(0.885894667716129, 0.19997145682009787, 1.5885407964629719, 0.21669437467091185)"
2025/09/16/14:21:04.600278,"(0.8555221489077179, 0.09482489278761869, 1.7812090738539463, 0.25981456161375505)"
2025/09/16/14:21:04.700285,"(0.7482604230276162, 0.1340352142274762, 1.856289337686004, 0.6278389200857455)"
