time,.data
2025/09/16/13:35:12.800309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:12.900272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.000380,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.100257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.200370,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.300386,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.400401,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.500304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.600486,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.700345,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.800298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:13.900411,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:14.000326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:14.100275,"(-0.0, -0.0, 0.07380018383264542, -0.07380018383264542)"
2025/09/16/13:35:14.200352,"(-0.0, -0.0, 0.39793887734413147, -0.39793887734413147)"
2025/09/16/13:35:14.305964,"(-0.0, -0.0, 0.42357441782951355, -0.42357441782951355)"
2025/09/16/13:35:14.400301,"(2.8337207436561584, 2.8337207436561584, 3.812989115715027, 2.734927535057068)"
2025/09/16/13:35:14.500329,"(3.348359227180481, 3.348359227180481, 6.0, 6.0)"
2025/09/16/13:35:14.600310,"(3.2425403594970703, 3.2425403594970703, 6.805087924003601, 5.194912075996399)"
2025/09/16/13:35:14.700336,"(3.2425403594970703, 3.2425403594970703, 7.6437366008758545, 4.3562633991241455)"
2025/09/16/13:35:14.800252,"(3.2425403594970703, 3.2425403594970703, 7.833529591560364, 4.166470408439636)"
2025/09/16/13:35:14.900367,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.000300,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.100348,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.200289,"(3.155610680580139, 3.155610680580139, 6.56775027513504, 5.43224972486496)"
2025/09/16/13:35:15.300302,"(3.171608805656433, 3.171608805656433, 8.0, 4.0)"
2025/09/16/13:35:15.400293,"(3.18510103225708, 3.18510103225708, 8.0, 4.0)"
2025/09/16/13:35:15.500288,"(1.9696292281150818, 1.9696292281150818, 4.654721587896347, 3.9247638285160065)"
2025/09/16/13:35:15.600313,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.700372,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.800321,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:15.900278,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:16.000307,"(4.816524267196655, 4.816524267196655, 5.33820778131485, 4.948258340358734)"
2025/09/16/13:35:16.100449,"(4.6551936864852905, 4.6551936864852905, 7.297431826591492, 3.2974318265914917)"
2025/09/16/13:35:16.200420,"(4.6551936864852905, 4.6551936864852905, 7.297431826591492, 3.2974318265914917)"
2025/09/16/13:35:16.300370,"(3.892873764038086, 3.892873764038086, 7.17278778553009, 4.179191946983337)"
2025/09/16/13:35:16.400451,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:16.500274,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:16.600276,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:16.700315,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:16.800339,"(3.536481499671936, 3.536481499671936, 0.0, 0.0)"
2025/09/16/13:35:16.900372,"(5.002333760261536, 5.002333760261536, 0.0, 0.0)"
2025/09/16/13:35:17.000313,"(5.647077441215515, 5.647077441215515, 4.725354194641113, 4.725354194641113)"
2025/09/16/13:35:17.100352,"(3.1648625135421753, 3.1648625135421753, 6.0, 6.0)"
2025/09/16/13:35:17.200275,"(2.471739113330841, 2.471739113330841, 6.0, 6.0)"
2025/09/16/13:35:17.300489,"(2.471739113330841, 2.471739113330841, 6.0, 6.0)"
2025/09/16/13:35:17.400342,"(2.471739113330841, 2.471739113330841, 8.0, 4.0)"
2025/09/16/13:35:17.500392,"(2.471739113330841, 2.471739113330841, 8.0, 4.0)"
