time,.data
2025/09/16/13:24:40.400318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:40.500305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:40.600301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:40.700313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:40.800310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:40.900375,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.000357,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.100291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.200329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.300319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.400306,"(0.39737990498542786, 0.39737990498542786, 0.8656752109527588, -0.8656752109527588)"
2025/09/16/13:24:41.500297,"(1.7063348293304443, 1.7063348293304443, 1.420598030090332, -1.420598030090332)"
2025/09/16/13:24:41.600257,"(1.7063348293304443, 1.7063348293304443, 1.420598030090332, -1.420598030090332)"
2025/09/16/13:24:41.700318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.800372,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:41.900280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.000260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.100246,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.200216,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.300279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.400350,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.500329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.600351,"(-0.0, -0.0, 2.233993411064148, -1.1543513536453247)"
2025/09/16/13:24:42.700342,"(-0.0, -0.0, 2.233993411064148, -1.1543513536453247)"
2025/09/16/13:24:42.800380,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:42.900292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.000561,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.100473,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.200304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.300342,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.400244,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.500230,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.600247,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.700308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.800337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:43.900285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.000277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.100309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.200307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.300343,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.400318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.500335,"(-0.0, -0.0, 3.1852937936782837, 3.1852937936782837)"
2025/09/16/13:24:44.600389,"(-0.1433374062180519, -0.1433374062180519, 4.27046799659729, 4.27046799659729)"
2025/09/16/13:24:44.716260,"(-0.1433374062180519, -0.1433374062180519, 4.27046799659729, 4.27046799659729)"
2025/09/16/13:24:44.800315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:44.900498,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.000294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.100408,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.200254,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.300332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.400263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.500297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.600287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.700289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.800355,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:45.900397,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.000366,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.100327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.200321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.300284,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:24:46.400290,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:24:46.500273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.600292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.700340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.800330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:46.900594,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:47.000282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:47.100283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:47.200331,"(-0.0, -0.0, 1.5295652151107788, -1.5295652151107788)"
2025/09/16/13:24:47.300343,"(-0.0, -0.0, 0.579829216003418, -0.579829216003418)"
2025/09/16/13:24:47.400286,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:24:47.500266,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:24:47.600329,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:24:47.700312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:47.800361,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:47.900295,"(-0.0, -0.0, -1.601974368095398, 1.601974368095398)"
2025/09/16/13:24:48.000296,"(-0.0, -0.0, -1.601974368095398, 1.601974368095398)"
2025/09/16/13:24:48.100289,"(-0.0, -0.0, -1.601974368095398, 1.601974368095398)"
2025/09/16/13:24:48.200309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.300285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.400231,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.500330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.600323,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.700405,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.800268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:48.900246,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.000314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.100257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.200270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.300259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.400320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.500341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.600331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.700295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.800343,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:49.900315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.000323,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.100492,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.200341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.300385,"(-0.0, -0.0, 1.473411202430725, -1.473411202430725)"
2025/09/16/13:24:50.400305,"(-0.0, -0.0, 1.435825228691101, -1.435825228691101)"
2025/09/16/13:24:50.502836,"(-0.0, -0.0, 1.435825228691101, -1.435825228691101)"
2025/09/16/13:24:50.600312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.700218,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.800367,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:50.900275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.000272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.100280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.200289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.305208,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.400300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.500274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.600336,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.707326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.800388,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:51.900274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.000270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.100425,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.200358,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.300393,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.400294,"(-0.0, -0.0, 0.3291919231414795, -0.3291919231414795)"
2025/09/16/13:24:52.500288,"(0.9245469868183136, 0.9245469868183136, 0.5112749934196472, -0.5112749934196472)"
2025/09/16/13:24:52.600554,"(0.9245469868183136, 0.9245469868183136, 0.5112749934196472, -0.5112749934196472)"
2025/09/16/13:24:52.700279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.800309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:52.900356,"(2.2994218468666077, 2.2994218468666077, 1.2429481744766235, -1.2429481744766235)"
2025/09/16/13:24:53.000329,"(3.437987208366394, 3.437987208366394, 1.332704782485962, -1.332704782485962)"
2025/09/16/13:24:53.100288,"(3.437987208366394, 3.437987208366394, 1.332704782485962, -1.332704782485962)"
2025/09/16/13:24:53.200423,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.300264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.400261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.501286,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.600456,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.700288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.800289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:53.900289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.000321,"(2.0650396943092346, 2.0650396943092346, 1.0371570587158203, -1.0371570587158203)"
2025/09/16/13:24:54.100262,"(2.0650396943092346, 2.0650396943092346, 1.187304938212037, -1.047504460439086)"
2025/09/16/13:24:54.200317,"(2.0650396943092346, 2.0650396943092346, 1.187304938212037, -1.047504460439086)"
2025/09/16/13:24:54.300406,"(2.0650396943092346, 2.0650396943092346, 1.187304938212037, -1.047504460439086)"
2025/09/16/13:24:54.400383,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.500538,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.600625,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.701714,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.800270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:54.900342,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:55.000280,"(-0.0, -0.0, -0.15828827023506165, 0.15828827023506165)"
2025/09/16/13:24:55.100367,"(-0.0, -0.0, -1.2924845218658447, 1.2924845218658447)"
2025/09/16/13:24:55.200346,"(2.7504533529281616, 2.7504533529281616, -1.3973397016525269, 1.3973397016525269)"
2025/09/16/13:24:55.300328,"(3.8926810026168823, 3.8926810026168823, -1.4268302917480469, 1.4268302917480469)"
2025/09/16/13:24:55.400294,"(3.8926810026168823, 3.8926810026168823, -1.4268302917480469, 1.4268302917480469)"
2025/09/16/13:24:55.500281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:55.600335,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:55.700282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:55.800348,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:55.900249,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.000330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.100271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.202772,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.300310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.400282,"(1.0373048186302185, 1.0373048186302185, 1.5870652720332146, -0.9954623654484749)"
2025/09/16/13:24:56.500314,"(0.8545793294906616, 0.8545793294906616, 0.5566961690783501, 0.03490673750638962)"
2025/09/16/13:24:56.600295,"(0.8545793294906616, 0.8545793294906616, 0.5566961690783501, 0.03490673750638962)"
2025/09/16/13:24:56.702169,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.800245,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:56.900309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.000283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.101639,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.200329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.300278,"(1.7951919436454773, 1.7951919436454773, -0.03492923825979233, 0.03492923825979233)"
2025/09/16/13:24:57.400378,"(1.6857107877731323, 1.6857107877731323, -0.6907880902290344, 0.6907880902290344)"
2025/09/16/13:24:57.500364,"(1.6857107877731323, 1.6857107877731323, -0.6907880902290344, 0.6907880902290344)"
2025/09/16/13:24:57.600353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.703375,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.800300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:57.900280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.000332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.100344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.200324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.300294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.400301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.500296,"(2.905230402946472, 2.905230402946472, 0.8337399736046791, -0.4510764107108116)"
2025/09/16/13:24:58.600381,"(2.994472861289978, 2.994472861289978, 0.7141716852784157, -0.3315081223845482)"
2025/09/16/13:24:58.700337,"(2.994472861289978, 2.994472861289978, 0.7141716852784157, -0.3315081223845482)"
2025/09/16/13:24:58.800331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:58.900284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.000320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.109821,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.200382,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.300339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.400882,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.500434,"(2.2595229148864746, 2.2595229148864746, 0.0, 0.0)"
2025/09/16/13:24:59.601911,"(2.2595229148864746, 2.2595229148864746, 0.0, 0.0)"
2025/09/16/13:24:59.700289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.800438,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:24:59.900348,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.000273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.100292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.200300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.300263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.400335,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.500341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:00.600302,"(-0.0, -0.0, -2.1545168198645115, 1.8454831801354885)"
2025/09/16/13:25:00.700340,"(-0.0, -0.0, -2.1545168198645115, 1.8454831801354885)"
2025/09/16/13:25:00.800323,"(-0.0, -0.0, -2.1967287436127663, 1.8032712563872337)"
2025/09/16/13:25:00.900396,"(-0.0, -0.0, -2.1967287436127663, 1.8032712563872337)"
2025/09/16/13:25:01.000260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.100424,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.200402,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.300373,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.400325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.500368,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.600377,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:01.700499,"(-0.0, -0.0, -3.9572933316230774, -1.0902689099311829)"
2025/09/16/13:25:01.800356,"(-0.0, -0.0, -3.9572933316230774, -1.0902689099311829)"
2025/09/16/13:25:01.900299,"(-0.0, -0.0, -3.9572933316230774, -1.0902689099311829)"
2025/09/16/13:25:02.000386,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.100458,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.200342,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.300366,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.400345,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.500271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:02.600305,"(3.0939313173294067, 3.0939313173294067, -1.2351065427064896, -0.17606289684772491)"
2025/09/16/13:25:02.700310,"(3.1704522371292114, 3.1704522371292114, -1.4486076533794403, -0.10365375876426697)"
2025/09/16/13:25:02.800336,"(3.1827882528305054, 3.1827882528305054, -1.6540775299072266, 0.014308333396911621)"
2025/09/16/13:25:02.900293,"(3.1827882528305054, 3.1827882528305054, -1.6540775299072266, 0.014308333396911621)"
2025/09/16/13:25:03.000337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.100302,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.200551,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.304448,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.400330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.500420,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.600361,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.704403,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.802383,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:03.900528,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:04.000352,"(3.9385550022125244, 3.9385550022125244, 0.69624924659729, -0.69624924659729)"
2025/09/16/13:25:04.100300,"(3.927375555038452, 3.927375555038452, 0.7437939047813416, -0.7437939047813416)"
2025/09/16/13:25:04.200310,"(3.927375555038452, 3.927375555038452, 0.936349630355835, -0.936349630355835)"
2025/09/16/13:25:04.300292,"(3.927375555038452, 3.927375555038452, 0.9309526681900024, -0.9309526681900024)"
2025/09/16/13:25:04.400360,"(3.927375555038452, 3.927375555038452, 0.9309526681900024, -0.9309526681900024)"
2025/09/16/13:25:04.500357,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:25:04.600294,"(0.0, 0.0, 0.0, 0.0)"
