time,.data
2025/09/16/13:26:16.400293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:16.500412,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:16.600344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:16.700313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:16.800289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:16.900331,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:17.000352,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:26:17.100393,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:26:17.200257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:17.300281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:17.400376,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:17.500340,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:17.600276,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:17.700285,"(2.7219266295433044, 2.7219266295433044, 1.685755729675293, -1.685755729675293)"
2025/09/16/13:26:17.800469,"(2.7219266295433044, 2.7219266295433044, 1.685755729675293, -1.685755729675293)"
2025/09/16/13:26:17.900985,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.000299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.100306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.200361,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.300294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.400329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.500279,"(1.4858306050300598, 1.4858306050300598, -0.42261067032814026, 0.42261067032814026)"
2025/09/16/13:26:18.600359,"(1.4858306050300598, 1.4858306050300598, -0.42261067032814026, 0.42261067032814026)"
2025/09/16/13:26:18.700312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.800538,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:18.900403,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.000407,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.100419,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.200273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.300278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.400358,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.500401,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.600256,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.700312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.800265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:19.900557,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:26:20.000296,"(5.76889443397522, 5.76889443397522, 0.0, 0.0)"
2025/09/16/13:26:20.100425,"(5.76889443397522, 5.76889443397522, 0.0, 0.0)"
2025/09/16/13:26:20.200285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.300321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.400258,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.500302,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.600306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.700319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.800280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:20.900319,"(-6.0, -6.0, -0.6560483872890472, -0.6560483872890472)"
2025/09/16/13:26:21.000340,"(-6.0, -6.0, -0.9260889887809753, -0.9260889887809753)"
2025/09/16/13:26:21.100487,"(-6.0, -6.0, -1.082215279340744, -1.082215279340744)"
2025/09/16/13:26:21.200330,"(-6.0, -6.0, -1.4943114817142487, -1.4943114817142487)"
2025/09/16/13:26:21.300279,"(-6.0, -6.0, -1.4943114817142487, -1.4943114817142487)"
2025/09/16/13:26:21.400337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:21.500313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:21.600301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:21.700303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:21.800271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:21.900316,"(-3.7153522968292236, -3.7153522968292236, -1.88473641872406, 1.88473641872406)"
2025/09/16/13:26:22.000456,"(-4.55785596370697, -4.55785596370697, -5.23251748085022, -1.2325174808502197)"
2025/09/16/13:26:22.100339,"(-4.55785596370697, -4.55785596370697, -5.23251748085022, -1.2325174808502197)"
2025/09/16/13:26:22.200344,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.300251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.402810,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.500453,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.600313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.700253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.800320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:22.900406,"(-0.26592544466257095, -0.26592544466257095, 5.339556813240051, 1.3818329572677612)"
2025/09/16/13:26:23.000278,"(-0.26592544466257095, -0.26592544466257095, 5.360694885253906, 1.3606948852539062)"
2025/09/16/13:26:23.100414,"(-0.26592544466257095, -0.26592544466257095, 5.360694885253906, 1.3606948852539062)"
2025/09/16/13:26:23.201613,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.300321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.400364,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.500339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.600493,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.700279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.800281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:23.900325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.000353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.100287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.200306,"(-6.0, -6.0, 1.1760002374649048, -1.1760002374649048)"
2025/09/16/13:26:24.300371,"(-6.0, -6.0, 0.705886721611023, -0.705886721611023)"
2025/09/16/13:26:24.400297,"(-6.0, -6.0, 0.705886721611023, -0.705886721611023)"
2025/09/16/13:26:24.500346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.600293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.700405,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.800253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.900312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.000304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.100307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.200427,"(0.0, 0.0, 0.0, 0.0)"
