time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2025/09/16/13:37:28.065467,138823,1758047848,62154531,odom,base_link,1.093523741257966,0.2927975661708002,0.004034462905682713,-0.007511637776445557,-0.009484035863147102,-0.9975492538380963,0.06891381957720506,"(9.999990181103456e-10, -2.1834890129752653e-21, -1.5295944183924965e-19, 1.9982081829980795e-24, 2.97887183187935e-24, -8.155839014890059e-25, -2.1834890129750764e-21, 9.999990181050622e-10, -8.631242142753601e-20, -5.7935657603160186e-24, -1.4051050774332224e-24, 6.128856207922542e-23, -1.5295944183924936e-19, -8.631242142753613e-20, 9.999983556262161e-10, 8.655107229462641e-24, 1.6897758690279652e-23, -1.8350994492390114e-24, 1.998208182998093e-24, -5.793565760316063e-24, 8.655107229462711e-24, 9.99996687686257e-10, 4.4402719825153174e-20, -9.34937085586569e-19, 2.9788718318792685e-24, -1.4051050774332088e-24, 1.6897758690279443e-23, 4.440271982515317e-20, 9.999966877104964e-10, -8.263675938233029e-19, -8.155839014890542e-25, 6.128856207922553e-23, -1.8350994492390195e-24, -9.349370855865683e-19, -8.263675938233029e-19, 9.999990226746302e-10)",-0.06325475197209056,0.014101752778885621,-0.01872616708527952,-0.013485090431291907,0.0025480347316160627,0.19493014418746113,"(0.17866561686185092, -3.3862817395538606e-05, -0.0006579591947588239, -4.547988508759515e-09, -7.590945916845632e-09, -7.386767103313337e-08, -3.3862817395539135e-05, 0.17860177242990719, -0.001435547829465168, 6.769612739676802e-09, -5.274018060295578e-09, -6.025395900254428e-07, -0.0006579591947588245, -0.001435547829465168, 0.07780838867043122, 1.4050412555459182e-08, 2.4155181669234394e-08, 8.754929837779975e-10, -4.547988508759527e-09, 6.769612739676924e-09, 1.405041255545931e-08, 0.017395800237910573, 1.4843395282775892e-05, 0.0008646257447261666, -7.590945916845398e-09, -5.2740180602956794e-09, 2.415518166923403e-08, 1.484339528277589e-05, 0.017427775152859974, 0.0012875135270010477, -7.386767103313302e-08, -6.025395900254438e-07, 8.754929837779696e-10, 0.0008646257447261664, 0.0012875135270010475, 0.22645764881899658)"
2025/09/16/13:37:28.073310,138824,1758047848,73209047,odom,base_link,1.0942348306352723,0.2927345902133794,0.0038185402371688037,-0.00751303777802254,-0.009400626072243214,-0.9974752340260662,0.06998814183445937,"(0.0011273290891791257, -2.6433848573676435e-09, -1.1296841503319029e-07, 7.389079511371125e-13, 1.107561785666332e-12, -1.1132366514355254e-12, -2.643384857366683e-09, 0.0011273225827543342, -6.062026155864806e-08, -2.1226242732544095e-12, -4.726110715800389e-13, 7.496910338014399e-11, -1.1296841503319032e-07, -6.062026155864802e-08, 0.000672819336652777, 1.908875097167852e-12, 3.651125416873343e-12, -1.3070632092067572e-12, 7.38907951137117e-13, -2.122624273254426e-12, 1.908875097167867e-12, 0.0003337661991090073, 4.806353245881488e-09, -3.452946790052069e-07, 1.1075617856663025e-12, -4.726110715800331e-13, 3.651125416873299e-12, 4.806353245881488e-09, 0.00033376874846722865, -2.996779342088885e-07, -1.1132366514355844e-12, 7.496910338014409e-11, -1.3070632092067629e-12, -3.4529467900520684e-07, -2.996779342088885e-07, 0.0011331310851689271)",-0.0632317682790362,0.01418954706457321,-0.018794980821709578,-0.013485090431291907,0.0025480347316160627,0.19493014418746113,"(0.18213503946034967, -3.398945395854058e-05, -0.000661553257444416, -4.555871319386637e-09, -7.604646280092174e-09, -7.400885632885455e-08, -3.3989453958541116e-05, 0.18207097007064052, -0.0014429142587451499, 6.781777301531566e-09, -5.282292391243139e-09, -6.036188118592795e-07, -0.0006615532574444166, -0.0014429142587451499, 0.07891900154290661, 1.4095909387829325e-08, 2.42073362628128e-08, 8.721808675813093e-10, -4.5558713193866485e-09, 6.781777301531689e-09, 1.4095909387829452e-08, 0.017506345396296804, 1.4843395282775892e-05, 0.0008646257447261666, -7.604646280091939e-09, -5.2822923912432405e-09, 2.4207336262812437e-08, 1.484339528277589e-05, 0.017538320311246205, 0.0012875135270010477, -7.400885632885421e-08, -6.036188118592805e-07, 8.721808675812811e-10, 0.0008646257447261664, 0.0012875135270010475, 0.2319849067383081)"
2025/09/16/13:37:28.093418,138825,1758047848,93264341,odom,base_link,1.09552480766962,0.2926206041290984,0.003424856088006268,-0.007515701022671559,-0.009249292593403974,-0.9973379741703078,0.071936987027023,"(0.003285976217559423, -2.080729846759993e-08, -9.071118493508177e-07, 1.957614562105685e-08, 1.3146168851119465e-07, 1.3448203678265767e-07, -2.08072984675991e-08, 0.003285926350086679, -4.822899863481246e-07, -1.2570017723439233e-07, 1.7940833185369717e-08, 1.527391859986981e-06, -9.071118493508173e-07, -4.822899863481242e-07, 0.0019429722040716882, 1.0053060572493435e-07, 4.255624600628577e-07, -1.3881926810920237e-09, 1.9576145621056848e-08, -1.2570017723439236e-07, 1.0053060572493434e-07, 0.0009502127600680893, 3.879607806553635e-08, -2.781890185728266e-06, 1.3146168851119468e-07, 1.7940833185369717e-08, 4.255624600628577e-07, 3.8796078065536154e-08, 0.0009502320317474066, -2.40564595254599e-06, 1.3448203678265765e-07, 1.5273918599869812e-06, -1.3881926810920235e-09, -2.7818901857282665e-06, -2.4056459525459904e-06, 0.0033324142650252553)",-0.06319007086514787,0.014348824977774016,-0.01891982389381033,-0.013485090431291907,0.0025480347316160627,0.19493014418746113,"(0.1884643293196978, -3.4219786132786884e-05, -0.0006680946020366818, -4.570172450912587e-09, -7.629501716307774e-09, -7.426499713689222e-08, -3.4219786132787426e-05, 0.18839985068052906, -0.001456328976773359, 6.8038464602707095e-09, -5.2973038257133745e-09, -6.055767547963169e-07, -0.0006680946020366825, -0.0014563289767733593, 0.08095819291319657, 1.417845052886611e-08, 2.4301956029508835e-08, 8.661719690299352e-10, -4.570172450912599e-09, 6.803846460270831e-09, 1.4178450528866239e-08, 0.017706898336665455, 1.4843395282775892e-05, 0.0008646257447261666, -7.629501716307538e-09, -5.297303825713476e-09, 2.430195602950847e-08, 1.484339528277589e-05, 0.017738873251614856, 0.0012875135270010477, -7.426499713689188e-08, -6.055767547963178e-07, 8.661719690299063e-10, 0.0008646257447261664, 0.0012875135270010475, 0.24201255375674072)"
2025/09/16/13:37:28.113381,138826,1758047848,112148046,odom,base_link,1.094298840014781,0.28901818457803763,-0.0070394441464265815,-0.006856779879697431,-0.008474776432235487,-0.9972630849804978,0.07312661669519165,"(9.999992680570498e-10, -1.797244590226997e-21, -1.3315350417776786e-19, 1.946310366355716e-24, 2.9914429103843484e-24, -4.08720050358687e-25, -1.7972445902264086e-21, 9.999992680524466e-10, -6.255385161632948e-20, -5.475720097606081e-24, -9.425304520836073e-25, 5.830229426900374e-23, -1.3315350417776772e-19, -6.255385161632943e-20, 9.999987722894767e-10, 8.635899425063015e-24, 1.5306464383903224e-23, -1.4858092078086153e-24, 1.946310366355725e-24, -5.4757200976061216e-24, 8.635899425063084e-24, 9.999975210946749e-10, 3.6111835893786284e-20, -8.311863211394934e-19, 2.991442910384286e-24, -9.425304520835935e-25, 1.5306464383903024e-23, 3.611183589378627e-20, 9.99997521116355e-10, -6.966993480820968e-19, -4.087200503587268e-25, 5.83022942690039e-23, -1.4858092078086182e-24, -8.311863211394933e-19, -6.966993480820968e-19, 9.999992725598977e-10)",-0.058557512610720855,0.019577391055431808,-0.03196607115415977,-0.014155168189294425,0.0033382363805190707,0.1924163409452911,"(0.17869044504538859, -3.0379183086752903e-05, -0.0006468715477061989, -4.3739624583426355e-09, -7.2638733272466725e-09, -7.836535742725487e-08, -3.0379183086753652e-05, 0.1786360009057596, -0.001334300503719528, 6.555735185692636e-09, -4.817678572084568e-09, -5.738334138963275e-07, -0.0006468715477061995, -0.0013343005037195277, 0.07780520338853908, 1.4011506466125068e-08, 2.326113899579094e-08, 1.1798947754754574e-09, -4.373962458342642e-09, 6.555735185692741e-09, 1.4011506466125185e-08, 0.017396108269795423, 1.4471878601929659e-05, 0.0008468922267203471, -7.263873327246495e-09, -4.817678572084657e-09, 2.326113899579058e-08, 1.4471878601929657e-05, 0.01742607413915188, 0.0011912372976122104, -7.836535742725461e-08, -5.738334138963285e-07, 1.179894775475466e-09, 0.000846892226720347, 0.0011912372976122102, 0.2266022899213563)"
2025/09/16/13:37:28.123310,138827,1758047848,122153521,odom,base_link,1.0944470171639131,0.2882728880877532,-0.009278364127814567,-0.0067541093456026545,-0.008390743778014543,-0.9972017255733885,0.07397767189670057,"(9.999990181352072e-10, -1.7525227617873626e-21, -1.3068162532838817e-19, 1.9712829929835195e-24, 3.2936622362577294e-24, -4.74687170312107e-25, -1.7525227617872633e-21, 9.999990181306947e-10, -6.278775121464469e-20, -5.6158434063557324e-24, -7.699192285762663e-25, 5.627022791151417e-23, -1.306816253283881e-19, -6.278775121464466e-20, 9.999983556641634e-10, 8.849169263179014e-24, 1.5848068432652003e-23, -1.400393431589959e-24, 1.9712829929835294e-24, -5.615843406355769e-24, 8.849169263179082e-24, 9.999966877568785e-10, 3.5503310417258975e-20, -8.209295736031659e-19, 3.2936622362576688e-24, -7.69919228576252e-25, 1.5848068432651806e-23, 3.5503310417258987e-20, 9.99996687778857e-10, -6.920204305487282e-19, -4.7468717031214705e-25, 5.627022791151422e-23, -1.4003934315899612e-24, -8.209295736031659e-19, -6.920204305487283e-19, 9.999990227099513e-10)",-0.05763616968745011,0.020599246512931196,-0.03456335609551244,-0.014154017064447244,0.0034509614155050486,0.1919209691311757,"(0.17867443880982395, -2.9698502648100455e-05, -0.0006439155109623421, -4.279915210420813e-09, -7.103803676563191e-09, -7.541458895625346e-08, -2.969850264810132e-05, 0.17862171357213485, -0.0013143057702030808, 6.413097688841704e-09, -4.6813807423296895e-09, -5.521138033623206e-07, -0.0006439155109623426, -0.0013143057702030808, 0.07780212951422863, 1.3791834622700495e-08, 2.2872500918043847e-08, 1.1318622777373797e-09, -4.2799152104208184e-09, 6.413097688841806e-09, 1.3791834622700611e-08, 0.017395889043727672, 1.4385178306118433e-05, 0.0008423897366473571, -7.103803676563017e-09, -4.681380742329776e-09, 2.2872500918043493e-08, 1.4385178306118431e-05, 0.017425466220497773, 0.0011723250394433285, -7.541458895625322e-08, -5.521138033623215e-07, 1.1318622777373875e-09, 0.000842389736647357, 0.0011723250394433283, 0.22657669960468133)"
2025/09/16/13:37:28.133363,138828,1758047848,133236647,odom,base_link,1.09510766871848,0.28813390935499944,-0.009667884779406302,-0.00674986165950626,-0.008303930015653334,-0.997123266492145,0.0750378273533239,"(0.0011303049013559237, -2.1676556281229755e-09, -9.700567223293306e-08, 7.30511078410536e-13, 1.2140284543172963e-12, -6.961374528246969e-13, -2.1676556281241013e-09, 0.001130299278667823, -4.7916945976525317e-08, -2.0578901155192402e-12, -2.7184063475706954e-13, 6.918475822145614e-11, -9.700567223293287e-08, -4.791694597652515e-08, 0.00067458480354703, 1.9538393048977906e-12, 3.4428439414218892e-12, -1.022415099493015e-12, 7.305110784105393e-13, -2.057890115519253e-12, 1.9538393048978047e-12, 0.00033463461013359696, 3.968625830820047e-09, -3.0601769263125806e-07, 1.2140284543172737e-12, -2.7184063475706454e-13, 3.442843941421845e-12, 3.968625830820047e-09, 0.00033463709458523715, -2.6034814302125657e-07, -6.961374528247401e-13, 6.918475822145624e-11, -1.0224150994930158e-12, -3.0601769263125806e-07, -2.603481430212565e-07, 0.0011361495537850514)",-0.0576023307725101,0.020699043767550405,-0.03469793443588013,-0.014154017064447244,0.0034509614155050486,0.1919209691311757,"(0.18215289076625307, -2.9808521308785568e-05, -0.0006474073750460176, -4.2872444871911686e-09, -7.116482383203965e-09, -7.555833494515145e-08, -2.9808521308786435e-05, 0.18209998360418353, -0.001320955246051777, 6.4245076682914025e-09, -4.688532997441249e-09, -5.530994723743792e-07, -0.0006474073750460181, -0.0013209552460517772, 0.0789155782661515, 1.3835793764645867e-08, 2.2919882152999646e-08, 1.1301976735829281e-09, -4.287244487191174e-09, 6.4245076682915035e-09, 1.3835793764645982e-08, 0.017506720304408824, 1.4385178306118433e-05, 0.0008423897366473571, -7.11648238320379e-09, -4.688532997441336e-09, 2.291988215299929e-08, 1.4385178306118431e-05, 0.017536297481178926, 0.0011723250394433285, -7.555833494515121e-08, -5.5309947237438e-07, 1.1301976735829356e-09, 0.000842389736647357, 0.0011723250394433283, 0.23211826263873894)"
2025/09/16/13:37:28.143373,138829,1758047848,143282890,odom,base_link,1.0957065780532547,0.28800825558550425,-0.010022269966085396,-0.006745996261156923,-0.008225229352143745,-0.9970511675771205,0.07599872610544006,"(0.002193289406327482, -7.784473635791555e-09, -3.552825927152765e-07, 1.8615656799542466e-08, 1.1784395574543013e-07, 1.4571950838345486e-07, -7.784473635793883e-09, 0.0021932693156274503, -1.7335442861099935e-07, -1.1527972723464201e-07, 1.776053759290585e-08, 6.959839071588233e-07, -3.5528259271527615e-07, -1.7335442861099893e-07, 0.0013028219031810339, 7.233487413065275e-08, 1.9286313000234297e-07, -4.1832959955450836e-10, 1.8615656799542456e-08, -1.15279727234642e-07, 7.233487413065274e-08, 0.0006416718739693959, 1.4607517451116312e-08, -1.119626941283715e-06, 1.1784395574543013e-07, 1.7760537592905852e-08, 1.9286313000234294e-07, 1.4607517451116214e-08, 0.0006416807393522755, -9.548359831405032e-07, 1.4571950838345488e-07, 6.959839071588234e-07, -4.1832959955450836e-10, -1.119626941283715e-06, -9.548359831405032e-07, 0.002214668004298633)",-0.05757165765890972,0.020789504485140425,-0.034819922293043,-0.014154017064447244,0.0034509614155050486,0.1919209691311757,"(0.1853178210483931, -2.9908417272904742e-05, -0.0006505794164308166, -4.293888073115371e-09, -7.127974932825836e-09, -7.56886327710387e-08, -2.9908417272905613e-05, 0.18526474867191786, -0.0013269981094834757, 6.434850186556513e-09, -4.695016122976589e-09, -5.539929270738824e-07, -0.0006505794164308172, -0.001326998109483476, 0.0799331190434745, 1.387564030691993e-08, 2.2962830634205438e-08, 1.128688801551432e-09, -4.293888073115377e-09, 6.434850186556614e-09, 1.3875640306920047e-08, 0.01760718274108485, 1.4385178306118433e-05, 0.0008423897366473571, -7.1279749328256605e-09, -4.6950161229766755e-09, 2.2962830634205084e-08, 1.4385178306118431e-05, 0.01763675991785495, 0.0011723250394433285, -7.568863277103846e-08, -5.539929270738833e-07, 1.1286888015514393e-09, 0.000842389736647357, 0.0011723250394433283, 0.2371413844725402)"
2025/09/16/13:37:28.163306,138830,1758047848,163220167,odom,base_link,1.0968950689295542,0.2877584367814883,-0.01072920599662985,-0.006738467055911277,-0.008069028539080958,-0.9969053223994087,0.0779054684338842,"(0.00441371882620958, -2.873192622236709e-08, -1.365211723705076e-06, 9.226992647051799e-08, 5.718944396938447e-07, 7.276264553479572e-07, -2.8731926222364795e-08, 0.004413646033211588, -6.607465127875181e-07, -5.613495754211073e-07, 8.710137176577572e-08, 3.4749991519416793e-06, -1.3652117237050755e-06, -6.607465127875167e-07, 0.0025978546211097367, 3.53801733907125e-07, 9.317261208140634e-07, -3.909265925137718e-09, 9.2269926470518e-08, -5.613495754211073e-07, 3.5380173390712506e-07, 0.0012615306456303052, 5.5949131993406255e-08, -4.3029590473286915e-06, 5.71894439693845e-07, 8.710137176577573e-08, 9.317261208140635e-07, 5.5949131993406414e-08, 0.001261563050473456, -3.6378757351722714e-06, 7.276264553479571e-07, 3.4749991519416793e-06, -3.909265925137718e-09, -4.302959047328691e-06, -3.6378757351722714e-06, 0.0044958182803456785)",-0.057510785319193916,0.020969028337978316,-0.03506201334317782,-0.014154017064447244,0.0034509614155050486,0.1919209691311757,"(0.19163238602206187, -3.010714489073894e-05, -0.000656893807977118, -4.307072604186393e-09, -7.150782476719083e-09, -7.594721537288907e-08, -3.0107144890739816e-05, 0.19157898489634684, -0.0013390340696724367, 6.4553754352662774e-09, -4.707882212319487e-09, -5.55766032950821e-07, -0.0006568938079771187, -0.0013390340696724369, 0.08197585574338782, 1.3954717778134873e-08, 2.3048064059553043e-08, 1.1256943689651113e-09, -4.307072604186398e-09, 6.455375435266378e-09, 1.3954717778134989e-08, 0.017806555509486947, 1.4385178306118433e-05, 0.0008423897366473571, -7.150782476718906e-09, -4.7078822123195735e-09, 2.304806405955269e-08, 1.4385178306118431e-05, 0.01783613268625705, 0.0011723250394433285, -7.594721537288884e-08, -5.557660329508219e-07, 1.125694368965118e-09, 0.000842389736647357, 0.0011723250394433283, 0.2471100228926452)"
2025/09/16/13:37:28.173363,138831,1758047848,172142029,odom,base_link,1.0951706172187283,0.28462678391995094,-0.020655088687082677,-0.006147471791746555,-0.008571386166494584,-0.9968792086777322,0.07823415645236434,"(9.99998896777298e-10, -1.6104611303056695e-21, -1.1769097174560844e-19, 2.0782993468151166e-24, 2.9534652986218057e-24, 3.7155474954335296e-24, -1.6104611303054122e-21, 9.999988967732374e-10, -7.559627158202437e-20, -5.982267491116273e-24, -1.1850825562215846e-24, 6.813188856756657e-23, -1.176909717456084e-19, -7.559627158202426e-20, 9.99998153367727e-10, 9.120390032914477e-24, 1.395125563011526e-23, -1.613995744085857e-24, 2.078299346815129e-24, -5.982267491116274e-24, 9.120390032914513e-24, 9.999962831293023e-10, 3.469509659964541e-20, -7.698585691771717e-19, 2.953465298621865e-24, -1.1850825562215778e-24, 1.395125563011522e-23, 3.469509659964542e-20, 9.999962831553576e-10, -7.147412123603588e-19, 3.7155474954334525e-24, 6.81318885675666e-23, -1.6139957440858664e-24, -7.69858569177172e-19, -7.147412123603589e-19, 9.999989013838179e-10)",-0.05322057897676388,0.02539935750630931,-0.04753654991299635,-0.013455485395820765,0.004061793991274659,0.1899319111178706,"(0.17868839524684982, -2.655986413313034e-05, -0.0006286880321504936, -5.1788933118587825e-09, -8.994255222185103e-09, -1.393531196908251e-07, -2.6559864133132584e-05, 0.17864346710363838, -0.0012202870208579543, 8.4806786814254e-09, -5.271826744884361e-09, -6.66873878689714e-07, -0.0006286880321504941, -0.0012202870208579545, 0.0777979913021659, 1.5613534550951975e-08, 2.3747133710494075e-08, 2.4055713046233796e-09, -5.178893311858804e-09, 8.480678681425406e-09, 1.5613534550952038e-08, 0.017395963355928308, 1.3948581689036964e-05, 0.0008196296225859314, -8.994255222185273e-09, -5.271826744884366e-09, 2.3747133710494006e-08, 1.3948581689036963e-05, 0.017423689812099123, 0.0010841737335429333, -1.3935311969082437e-07, -6.668738786897146e-07, 2.4055713046233217e-09, 0.0008196296225859312, 0.0010841737335429331, 0.22667962501205802)"
2025/09/16/13:37:28.183324,138832,1758047848,182162762,odom,base_link,1.0965783587689844,0.3007937807507754,0.024285331301009905,-0.005745637592558322,-0.01702932084917075,-0.9965708165955388,0.08076878970352266,"(9.999990196566053e-10, -1.5691312779434496e-21, -1.082529370072439e-19, 2.2620728936568563e-24, 4.083908715112088e-24, 3.415503413035218e-24, -1.5691312779427646e-21, 9.99999019652525e-10, -8.3174191804856e-20, -6.860679190441985e-24, -9.85471221872339e-25, 6.596385850351062e-23, -1.0825293700724374e-19, -8.317419180485603e-20, 9.999983581989821e-10, 1.0071255920721129e-23, 1.5805104717672435e-23, -1.5775140419136437e-24, 2.262072893656868e-24, -6.860679190441989e-24, 1.0071255920721164e-23, 9.999966928235115e-10, 3.4457988797049404e-20, -7.332389331683238e-19, 4.083908715112148e-24, -9.854712218723315e-25, 1.5805104717672394e-23, 3.445798879704939e-20, 9.999966928537801e-10, -7.424409508402394e-19, 3.4155034130351425e-24, 6.596385850351068e-23, -1.5775140419136543e-24, -7.332389331683238e-19, -7.424409508402395e-19, 9.999990242372588e-10)",-0.057796786616344645,-0.0014384621156943098,0.01118310453209853,-0.0036047124383698855,0.0037459402741905714,0.19554664450515957,"(0.17867257766276637, -2.598549708776434e-05, -0.0006249637344587983, -5.066680540047211e-09, -8.794666654190992e-09, -1.340958524597286e-07, -2.5985497087767036e-05, 0.1786290114450033, -0.0012033218321970327, 8.298979356900668e-09, -5.128615442303394e-09, -6.416092888776419e-07, -0.0006249637344587988, -0.0012033218321970329, 0.0777950569318402, 1.536934693523221e-08, 2.335125317369827e-08, 2.3236362789274694e-09, -5.066680540047232e-09, 8.298979356900674e-09, 1.5369346935232272e-08, 0.01739573377807129, 1.3859596579788983e-05, 0.0008141949549313305, -8.79466665419116e-09, -5.1286154423033985e-09, 2.33512531736982e-08, 1.3859596579788981e-05, 0.017423122038928002, 0.001068419703999121, -1.340958524597279e-07, -6.416092888776425e-07, 2.3236362789274135e-09, 0.0008141949549313303, 0.0010684197039991209, 0.22665121169750863)"
